#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
1,1905 BARGE,BARG,MISCELLANEOUS,41412,36.00,0,0.00,99,99.00,,,,99.00,
2,A LA MARINE,LAM,FREIGHTER,28813,170.06,25.2,9.50,16023,6251.00,HONG KONG,03/03/2011,,20069.00,9386524
3,A2,A2,CRUISE,78322,47.35,8.110,2.41,458,137.00,GEORGE TOWN,,CAYMAN ISLANDS,0.00,1008035
4,AAL BANGKOK,AALB,FREIGHTER,563504,148.99,23,9.80,14053,5373.00,MONROVIA,28/06/2012,LIBERIA,18703.00,9521564
5,AARON,AAR,TUG,COMDCK,23.95,9,3.00,164,49.00,ND,01/01/2013,NETHERLANDS,0.00,9653214
6,ABEKO SERVER 1,ABE1,DREDGER,COMDCK,55.15,15,4.00,10,0.00,HOLLAND,01/01/1998,DUTCH,0.00,245589000
7,ABEKO SERVER 2,ABE2,DREDGER,480211,48.00,12,2.00,999,999.00,0,01/01/1997,DUTCH,0.00,24429000
8,ABEKO SERVER 3,ABE3,DREDGER,480211,44.00,0,3.00,999,999.00,,,,999.00,9252668
9,ACAMAR,ACA,TUG,COMDCK,16.00,5,,99999999,,,,UK,,
10,ACHTHERGRACHT,ACH,FREIGHTER,20246,129.80,18,8.00,7949,4157.00,AMSTERDAM,01/03/2013,NETHERLAND,12150.00,8821802
11,ACWS CONTINGENCY RACING,ACWS CONT,MISCELLANEOUS,20246,50.00,,,100,,,,,,
12,ACWS LIVE RACING,ACWS LIVE,MISCELLANEOUS,20246,50.00,,,100,,,,,,
13,ADIX,ADIX,CRUISE,CASH,67.00,8.6,5.00,21,87.00,LONDON,,UNITED KINGDOM,0.00,1000150
14,ADURNI,ADU,TUG,COMDCK,16.00,5,,999999,,,,UK,,
15,AEGEAN ODYSSEY,AEG ODY,CRUISE,202362,140.50,20.82,6.58,12094,,PANAMA CITY,18/06/1972,PANAMA,4174.00,7225910
16,AEL SERVICE,AEL SERVICE,FREIGHTER,28813,99.00,,,99,,,,,,
17,AETHRA,AETHRA,TUG,507300,94.10,22,7.11,7082,2124.00,LIMASSOL,,CYPRUS,4549.00,9181481
18,AFON LAS,AFLAS,TUG,COMDCK,25.00,9.5,3.04,131,39.00,BEAUMARIS,14/07/2010,UK,200.00,9547398
19,AFON LLIGWY,AFO,TUG,20193,2.35,8,2.00,119,0.00,,,UK,0.00,9266384
20,AFRIC STAR,AFR,FREIGHTER,28813,158.53,23,9.00,11590,6230.00,NASSAU,,,12519.00,8713562
21,AGULHAS STREAM,AGU,FREIGHTER,28813,150.00,22,9.00,9298,4983.00,WILLEMSTAD,,NETHERLANDS,11048.00,9158537
22,AIDAAURA,AIDAAURA,CRUISE,20162,203.20,28.10,6.20,42289,,GENOA,01/11/2004,ITALY,,9221566
23,AIDABELLA,AIDABELLA,CRUISE,64766,252.00,,,69203,,GENOA,,ITALY,,9362542
24,AIDACARA,AIDACARA,CRUISE,CASH,193.30,27.58,6.19,38531,,GENOA,,ITALY,,9112789
25,AIDAMAR,AIDAMAR,CRUISE,64766,253.00,32.2,7.30,71304,45123.00,GENOA,01/05/2012,ITALY,7757.00,9490052
26,AIDASOL,AIDASOL,CRUISE,20162,253.00,32.2,7.20,71304,45164.00,GENOA,27/02/2011,ITALY,7892.00,9490040
27,AIDAVITA,AIDAVITA,CRUISE,20162,203.00,28,6.40,42289,20877.00,GENOA,10/06/2001,ITALY,4232.00,9221554
28,ALBATROS,ALBA,CRUISE,423437,205.46,25,7.00,28518,10962.00,NASSAU,,BAHAMAS,5936.00,7304314
29,ALBEMARLE ISLAND,ALBE,FREIGHTER,28813,178.50,25,9.00,14061,6900.00,NASSAU,01/12/1992,,14160.00,9059602
30,ALBULA,ALB,MISCELLANEOUS,78322,63.84,,3.60,1397,,,,,,1008920
31,ALEXANDER,ALEX,FREIGHTER,563504,116.08,15.9,6.39,4723,2724.00,SAINT JOHN'S,01/05/2009,ANTIGUA & BARBUDA,7400.00,9433353
32,ALI CAT OF COWES,ALI CAT,MISCELLANEOUS,20184,20.00,10,17.00,78,,COWES,,UK,,232006214
33,ALSTERDIJK,ALS,FREIGHTER,28813,168.09,,10.00,17368,7822.00,MONROVIA,,LIBERIA,21150.00,9491484
34,ALVA,ALV,MISCELLANEOUS,CASH,54.00,7,3.00,286,85.00,STOCKHOLM,,SWEDEN,470.00,5013052
35,AMADEA,AMADEA,CRUISE,423437,190.00,24,6.00,28856,10131.00,NASSAU,01/10/1991,BAHAMAS,2248.00,8913162
36,AMANDA,AMAN,FREIGHTER,507300,80.96,11.3,2.80,1441,459.00,MARSTAL,01/11/2002,DENMRK,1795.00,8104565
37,AMARA,AMARA,MISCELLANEOUS,COMDCK,57.30,9.5,3.00,702,210.00,GEORGE TOWN,,CAYMAN ISLANDS,,1001178
38,AMARYLLIS,AMARY,MISCELLANEOUS,20246,78.43,12,3.00,2108,,GEORGE TOWN,09/11/2011,UK,220.00,1010519
39,AMBER11,AMB,TUG,28813,48.00,13,5.00,975,292.00,VALLETTA,,MALTA,760.00,9425423
40,AMBIENCE,AMBIENCE,CRUISE,20162,245.00,,,70285,,,,,,
41,AMBITION,AMB2,CRUISE,20162,216.00,28.8,7.00,48123,25196.00,NASSAU,01/03/2022,BAHAMAS,4923.00,9172777
42,AMERA,AMERA,CRUISE,423437,204.00,32.320,7.25,38848,15501.00,NASSAU,29/04/1988,BAHAMAS,6150.00,8700280
43,AMOENITAS,AMO,FREIGHTER,101128,133.98,,23.00,11473,3834.00,SAINT JOHNS,01/06/2014,ANTIGUA BARBUD,9963.00,9505510
44,ANDALUCIA STAR,ANDAL,FREIGHTER,28813,158.50,23,9.00,11658,6290.00,NASSAU,01/06/1989,BAHAMAS,12714.00,8816170
45,ANDRE B,ANDREB,TUG,533631,31.10,9,4.00,1,1.00,,,DUTCH,1.00,
46,ANDREA,ANDREA,FREIGHTER,644009,134.40,22,8.00,9981,6006.00,GIBRALTAR,11/07/2005,NORWAY,11285.00,9333357
47,ANDRINA F,ANDRINA F,FREIGHTER,563504,81.09,11,3.00,1568,556.00,SAINT JOHN'S,08/09/1990,ANTIGUA & BARBUDA,1890.00,8919221
48,ANDROS,AND,FUEL BARGE,202362,90.22,15.6,6.01,3212,1294.00,LIMASSOL,01/02/2020,CYPRUS,4605.00,9371347
49,ANNASTAR,ANNA,MISCELLANEOUS,78322,49.94,9.3,2.32,492,147.00,GEORGE TOWN,03/01/0012,CAYMAN ISLANDS,107.00,9620190
50,ANNE,ANNE,FREIGHTER,28813,139.14,22.6,8.80,9981,4900.00,MADEIRA,01/01/2006,PORTUGAL,11808.00,9347803
51,ANNEMIEKE,ANN,FREIGHTER,563504,151.63,20.4,6.50,8388,,,,,,9147681
52,ANSAC PRIDE,ANSAC,FREIGHTER,20162,177.85,28.66,10.87,22863,12519.00,HONG KONG,01/01/2013,,37094.00,9619737
53,ANTJE,TJE,FREIGHTER,563504,130.24,16.49,7.00,7138,2266.00,SAINT JOHN'S,25/10/2010,,7984.00,9570620
54,ANTWERP TRADER,ANT,FREIGHTER,28813,211.85,,11.00,27059,12221.00,VALLETA,,MALTA,34444.00,9304746
55,AQASIA,AQA,FREIGHTER,423437,85.16,13,5.00,2141,969.00,VALRTTA,01/06/2011,MALTESE,2845.00,9556753
56,ARCTIC PRIDE II,ARCT,MISCELLANEOUS,78322,46.43,8.69,2.17,475,142.00,BIKINI,01/01/2020,MARSHALL ISLANDS,58.00,9860776
57,ARCTIC ROCK,ARC,FREIGHTER,563504,92.20,15.00,5.00,2989,896.00,URK,01/04/2014,NETHERLANDS,3285.00,9650901
58,ARIES J,ARI,FREIGHTER,28813,151.72,23,8.00,10585,5372.00,LIMASSOL,,CYPRUS,12892.00,9514767
59,ARION,ARIO,TUG,COMDCK,30.38,8,4.00,257,,,01/01/1978,GERMANY,144.00,7726902
60,ARMORIQUE,ARM,FERRY,20212,167.00,32,6.00,29468,11605.00,MORLAIX,01/01/2009,FRENCH,4200.00,9364980
61,ARROW,ARR,FERRY,163081,122.32,19,6.00,7606,2282.00,DOUGLES,01/01/2013,ISLE OF MANN,5656.00,9119414
62,ARTANIA,ART,CRUISE,423437,231.00,32,7.00,44656,19772.00,HAMILTON,01/05/2011,BERMUDA,4661.00,8201480
63,ARTEMIS,TEM,TUG,507300,67.83,16,6.00,1989,596.00,LIMASSOL,01/09/1989,CYPRUS,2330.00,8321591
64,ARUBABORG,ARU,FREIGHTER,563504,143.00,21.53,9.69,11864,5650.00,DELFZIJL,,NETHERLANDS,17407.00,
65,AS FATIMA,ASF,FREIGHTER,28813,166.15,25,9.00,15334,5983.00,MONROVIA,01/04/2015,LIBERIA,18343.00,9437191
66,AS FLORETTA,FLO,FREIGHTER,423437,166.15,25,9.00,15375,5983.00,MADEIRA,26/12/2006,PORTUGAL,18278.00,9395056
67,AS PALINA,PAL,FREIGHTER,28813,210.05,30,11.50,26833,12743.00,MONROVIA,21/01/2004,,34567.00,9283693
68,ASNE,ASN,FUEL BARGE,121266,40.00,14,1.00,99,99.00,,,,99.00,
69,ASTOR,AST,CRUISE,20162,176.20,22,6.00,20606,7637.00,NASSAU,01/01/1987,GERMAN,,8506373
70,ASTORIA,ASTORIA,CRUISE,20162,160.08,21,9.00,16144,5931.00,MADEIRA,,,2020.00,5383304
71,ASTREA,TRE,MISCELLANEOUS,507300,71.33,17,6.00,2590,777.00,PIRAEUS,01/01/1987,GREECE,3200.00,8520771
72,ASTRID ERIKA,ASTR,FREIGHTER,563504,89.99,14.18,6.10,2999,1639.00,FLEKKEFJORD,01/01/2005,NORWAY,4933.00,9291731
73,ATALANTI,ATA,MISCELLANEOUS,507300,96.99,31,4.00,5897,1769.00,LIMASSOL,06/10/2008,CYPRUS,5613.00,8661616
74,ATLANTIC ACANTHUS,ATLA,FREIGHTER,28813,144.53,21,9.00,9649,5349.00,NASSAU,,,11793.00,9189897
75,ATLANTIC ERICA,ATLE,FREIGHTER,20195,144.50,21,9.00,9649,5349.00,PANAMA,,PANAMA,11791.00,9194476
76,ATLANTIC KLIPPER,ATLANKLIP,FREIGHTER,28813,165.00,25,10.00,14091,7603.00,SCHEVENIMGEN,01/01/2011,DUTCH,15692.00,9454761
77,ATLANTIC REEFER,ATLR,FREIGHTER,28813,175.70,,9.00,14505,7580.00,MONROVIA,,LIBERIA,17322.00,9179256
78,AURA,AURA,FREIGHTER,563504,101.80,18.830,4.90,3259,978.00,TURKU,01/01/2008,FINLAND,4965.00,9395276
79,AURORA,AURORA,CRUISE,645902,270.00,33.600,8.40,76152,40.04,HAMILTON,01/01/2000,BERMUDA,8.49,9169524
80,AVON,AVO,TUG,542928,26.00,8,2.00,999,999.00,UK,,UK,999.00,
81,AZAMARA JOURNEY,AZAMARA JOURNEY,CRUISE,20162,181.00,,,30277,,,,,,
82,AZAMARA QUEST,AZAMARA QUEST,CRUISE,20162,181.00,,,30277,,,,,,
83,BAIE DE SEINE,BDS,FERRY,20212,199.40,25,6.00,22382,8064.00,,,FRENCE,5625.00,9212163
84,BAILEY SENTINEL,BASE,MISCELLANEOUS,202362,61.98,15.5,4.60,2173,651.00,ABERDEEN,,UNITED KINGDOM,1487.00,9761425
85,BAKER TRAYTE 1,BAK1,MISCELLANEOUS,121266,99.00,99,99.00,99,99.00,,,,99.00,
86,BALMORAL,BALMORAL,CRUISE,20162,218.91,,,43537,,NASSAU,,BAHAMAS,,8506294
87,BALMORAL (SS),BAL,STEAMBOAT,516508,62.00,9,3.00,734,309.00,BRISTOL,,BRITISH,,5034927
88,BALTIC,TIC,FREIGHTER,202362,92.20,15,4.00,2957,,,01/01/2017,NETHERLANDS,3264.00,9763784
89,BALTIC HEATHER,BALH,FREIGHTER,20195,149.00,22,8.00,9859,5124.00,MONROVIA,11/03/1998,LIBERIA,10114.00,9181144
90,BALTIC KLIPPER,BALTCKLIP,FREIGHTER,28813,165.00,25,10.00,14091,7238.00,MONROVIA,01/01/2010,LIBERIAN,156609.00,9454759
91,BALTIC LORD,BALO,FREIGHTER,28813,155.20,23.4,9.50,11443,6336.00,ST VINCENT & THE GRENADINES,,,12912.00,9160274
92,BALTIC MERCURY,BALM,FREIGHTER,20195,145.50,22,9.00,10298,4653.00,KINGSTOWN,01/10/2012,ST VINCENT,11067.00,8616312
93,BALTIC PERFORMER,BALP,FREIGHTER,20195,150.01,22,9.00,10381,5253.00,MONROVIA,,LIBERIA,10603.00,9016674
94,BALTIC PILGRIM,BPIL,FREIGHTER,20195,150.01,22,9.00,10381,5253.00,MONROVIA,,LIBERIA,10621.00,9016662
95,BALTIC PIONEER,BPIO,FREIGHTER,20195,150.01,22,9.00,10374,5253.00,MONROVIA,01/11/2013,LIBERIA,10532.00,9070137
96,BALTIC SPIRIT,BALSP,FREIGHTER,28813,188.60,26.00,9.72,17421,8092.00,NASSAU,01/11/2018,BAHAMAS,16580.00,9765873
97,BALTIC SPRING,BALS,FREIGHTER,20195,156.89,23,9.00,10842,6381.00,MONROVIA,,LIBERIA,12942.00,8909070
98,BALTIC SUMMER,BSUM,FREIGHTER,20195,156.88,23,9.00,10842,6381.00,MONROVIA,01/09/2013,LIBERIA,12942.00,8802090
99,BARFLEUR,BARF,FERRY,20212,157.65,23,8.00,20133,0.00,CHERBOURG,,FRENCE,0.00,9007130
100,BARGE,BAR,MISCELLANEOUS,COMDCK,25.00,9,,30,,,,,,
101,BARRINGTON ISLAND,BARRI,FREIGHTER,28813,178.50,25.24,9.20,14061,6900.00,NASSAU,01/09/1993,BAHAMAS,14140.00,9059614
102,BAVENIT,BAV,DREDGER,202362,88.17,17,5.00,3575,1073.00,MURMANSK,,RUSSIA,2289.00,8406573
103,BAY PHOENIX,BAYP,FREIGHTER,28813,134.02,20,7.00,7326,4810.00,MONROVIA,18/06/1993,,8041.00,9047271
104,BBC ALBERTA,BBCAL,FREIGHTER,563504,138.00,21,8.00,9611,4260.00,MONROVIA,,LIBERIA,12655.00,
105,BBC BAHRAIN,BBCB,FREIGHTER,563504,128.45,16,7.00,6309,2841.00,SAINT JOHN'S,01/01/2012,GERMAN,7967.00,9578751
106,BBC BELEM,BBCBEL,FREIGHTER,563504,128.97,16,7.00,6310,2841.00,ST JOHNS,11/09/2010,GERMAN,8129.00,9501655
107,BBC BERGEN,BBCBER,FREIGHTER,563504,128.45,16,7.00,6310,,SAINT JOHN'S,,ANTIGUA & BARBUDA,8000.00,9437153
108,BBC EAGLE,BBC EAGLE,FREIGHTER,563504,139.00,20,7.72,8750,,SAINT JOHNS,01/01/2008,ANTIGUA BARBUDA,10340.00,9407574
109,BBC EDGE,BBC EDGE,FREIGHTER,563504,139.03,,7.70,8.75,,,,,10.38,
110,BBC KANSAS,BBCKAN,FREIGHTER,202362,138.02,21,8.00,9611,4260.00,SAINT JOHNS,01/06/2006,GERMAN,12730.00,9349291
111,BBC LISBON,BBC LIS,FREIGHTER,563504,130.18,,7.00,7.14,2.27,ANTIGUA AND BARBUDA,01/01/2011,,7.84,9513634
112,BBC LIVORNO,BBCLIVORN,FREIGHTER,563504,130.22,16,7.00,7138,3412.00,"ST JOHNS, ANTIGUA AND BARBUDA",01/06/2012,ANTIGUAN,7933.00,9570670
113,BEAUMARE,MARE,FREIGHTER,20162,88.60,12520,5.40,2545,1460.00,ROTTERDAM,01/02/2016,NETHERLANDS,3850.00,9401245
114,BELLA VITA,BELA,MISCELLANEOUS,78322,60.00,11.41,3.50,1218,365.00,GEORGE TOWN,01/07/2010,CAYMAN ISLANDS,189.00,1010337
115,BELLINGSHAUSEN,BELL,FREIGHTER,507300,87.98,12.8,5.51,2452,1369.00,ST JOHNS,01/01/2003,ANTIGUA & BARBUDA,3672.00,9197399
116,BENGUELA STREAM,BEN,FREIGHTER,28813,150.00,22,9.00,9298,4998.00,GRONINGEN,,NETHERLANDS,11016.00,9158549
117,BERLIN,BER,CRUISE,20162,139.30,17,4.00,9570,3542.00,VALLETA,01/12/1980,,1796.00,7904889
118,BERTH RESERVED,RESERVED,MISCELLANEOUS,20162,1.00,,,1,,,,,,
119,BF FORTALEZA,BFFO,FREIGHTER,644009,121.85,18.45,6.68,6362,3998.00,LIMASSOL,06/08/1996,CYPRUS,7202.00,9130432
120,BG IRELAND,BG IRE,FREIGHTER,20162,139.60,22.390,7.36,8.246,4.00,LIMASSOL,01/01/2007,CYPRUS,11.18,9355446
121,BIG EAGLE,BIG,MISCELLANEOUS,CASH,52.00,9,3.00,339,119.00,KINGSTON,20/06/1980,USE,0.00,7916430
122,BIG RON,BRON,MISC BARGE,29368,20.00,9.00,1.50,135,75.00,LONDON,01/03/2020,UNITED KINGDOM,,8891053
123,BIRGIT,BIRG,FREIGHTER,507300,116.08,15.9,6.39,4723,2493.00,SAINT JOHNS,01/01/2008,ANTIGUA & BARBUDA,7560.00,9433341
124,BIRGIT G,BRGG,FREIGHTER,507300,88.60,12.69,5.41,2545,1460.00,SAINT JOHNS,01/01/2010,ANTIGUA & BARBUDA,3850.00,9536064
125,BKM103,BKM,DREDGER,20193,26.50,11,2.00,182,0.00,,,,226.00,9190341
126,BLACK WATCH,BLA,CRUISE,20162,205.47,25,7.00,28163,11854.00,NASSAU,01/01/1972,BAHAMAS,5656.00,8000293
127,BLADE RUNNER 2,BRUN2,FREIGHTER,57668,75.00,0,0.00,999,999.00,UK,,,0.00,9287754
128,BOA NJORD,BOA,TUG,184979,32.00,11,5.00,490,147.00,VALLETTA,01/01/2009,,0.00,9551911
129,BOLDWIND,BOLDWIND,FREIGHTER,563504,148.45,28.042,5.60,8604,2582.00,MADEIRA,01/05/2020,PORTUGAL,10.00,9870018
130,BOLETTE,BOL,CRUISE,563504,237.00,32.28,8.12,62735,31639.00,NASSAU,01/01/2000,BAHAMAS,7327.00,9188037
131,BOMAR CAEN,BOM,FREIGHTER,28813,210.06,30,11.00,26836,12743.00,MADEIRA,17/10/2004,PORTUGAL (MAR),34289.00,9301433
132,BOREALIS,BOREALIS,CRUISE,20162,237.70,,,61849,,BAHAMAS,01/01/1997,,,9122552
133,BORNHOLM,ORN,FREIGHTER,563504,87.95,11,4.20,1945,1039.00,LATVIA,16/04/2006,GERMANY,2443.00,9350460
134,BORROWDALE H,BOR,FUEL BARGE,20104,50.60,6,3.00,356,170.00,HULL,01/01/1972,UK,0.00,7228479
135,BOUDICCA,BOU,CRUISE,20162,207.00,2502,7.00,28372,11649.00,NASSAU,01/06/1973,BAHAMAS,5291.00,7218395
136,BOYNE,BOYN,MISCELLANEOUS,563504,105.50,99,6.29,8082,,VALLETTA,01/06/2020,MALTA,,9369928
137,BRAEMAR,BRA,CRUISE,157352,195.82,22,5.00,24344,8103.00,UK,21/06/1993,UK,2978.00,9000699
138,BRAVEWIND,BRAVEWIND,FREIGHTER,563504,149.00,28,,8604,,MADEIRA,,PORTUGAL,10000.00,9886330
139,BRAZILIAN REEFER,BREEF,FREIGHTER,20195,144.60,23,10.00,12383,7978.00,NASSAU,14/10/1983,,14786.00,8300377
140,BREMAN,BRE,CRUISE,20162,111.51,17,4.00,6752,2073.00,NASSAU,,BAHAMAS,1226.00,8907424
141,BREMEN,BREMEN,FREIGHTER,507300,89.88,12.9,5.65,2.59,1.39,LIMASSOL,01/01/2012,CYPRUS,3.81,9617301
142,BRETAGNE,BR,FERRY,20212,151.20,29,6.00,24534,13242.00,MORLAIX,26/01/1993,FRENCH,0.00,8707329
143,BRILLIANCE OF THE SEAS,BRILLANCE OF THE SEAS,CRUISE,20162,292.00,,,90090,,,,,,
144,BRILLIANT LADY,BRILLIANT LADY,CRUISE,20162,278.00,,,110000,,,,,,
145,BRITANNIA BEAVER,BRITBEAVR,FREIGHTER,407737,99.95,17.71,6.24,3610,1038.00,LONDON,01/01/1991,UNITED KINGDOM,5786.00,9001667
146,BSL CAPE TOWN,BSL,FREIGHTER,28813,210.03,30.230,11.50,26,12.00,MONROVIA,28/03/2019,LIBERIA,34.00,9275048
147,BUCENTAUR,BUC,MISCELLANEOUS,202362,77.35,16,5.00,2,830.00,NASSAU,25/10/1982,,2.00,8112548
148,BUSTLER,BUS,TUG,41412,39.99,99,99.00,99,99.00,,,,99.00,7902336
149,BUXTEHUDE,BUX,FREIGHTER,644009,134.40,22.5,8.71,9962,6006.00,ST JOHNS,01/07/2006,,11431.00,9354339
150,BYSTANDER,BYS,MISCELLANEOUS,CASH,42.18,9,2.00,561,168.00,GEORGE TOWN,01/01/2001,UK,99.00,1008736
151,CADENA 4,CAD4,FREIGHTER,20195,155.00,22.7,7.10,12433,3730.00,OSLO,,NORWAY,9235.00,9132002
152,CALEDONIAN SKY,CSKY,CRUISE,20162,90.60,15,3.00,4200,1263.00,BAHAMAS,24/03/1990,,645.00,8802870
153,CAP BEATRICE,CAP,FREIGHTER,28813,210.07,30,11.00,12743,26833.00,LIBERIA,,MONROVIA,34317.00,9275062
154,CAP FINISTERE,CF,FERRY,20212,203.90,25,6.00,30285,10703.00,MORILAX,16/02/2010,FRENCH,5990.00,9198927
155,CAP ROCA,ROC,FREIGHTER,28813,225.09,31.00,12.20,32984,13452.00,LIBERIA,07/06/2012,,34700.00,9399789
156,CAPALL MARA,CAPALMARA,DREDGER,202362,39.60,14.0,2.50,496,,,,,992.00,
157,CARIBBEAN STAR,CARIBSTAR,FREIGHTER,28813,184.80,24,9.00,15058,7480.00,MONROVIA,,LIBERIA,14726.00,9150810
158,CAROLINA,CAROLINA,FREIGHTER,507300,82.50,12.580,5.34,2.409,993.00,SPIJK,,NETHERLANDS,3.70,9382748
159,CAUSEWAY,CAU,DREDGER,20193,92.10,19,6.00,4320,1296.00,,,,5950.00,9653197
160,CELINA,CELINA,FREIGHTER,507300,104.40,16.380,6.76,4.073,2.16,SAINT JOHNS,01/01/2001,ANTIGUA AND BARBUDA,6.18,9019200
161,CELTIC,CELT,FREIGHTER,563504,108.25,14.0,5.52,3636,1090.00,URK,01/01/2021,NETHERLANDS,4514.00,9917672
162,CELTIC FORTUNE,CELFOR,FREIGHTER,507300,88.99,14.0,6.18,2999,1639.00,CARDIFF,01/12/2020,UK,5.63,9353711
163,CHANGUINOLA BAY,CHAN,FREIGHTER,28813,141.00,20,8.00,8487,3897.00,NASSAU,09/09/1988,,9727.00,8801814
164,CHANNEL CHIEFTAIN VI,CHA,MISCELLANEOUS,507300,19.00,7.3,2.00,40,,WEYMOUTH,,UK,,
165,CHARLES ISLAND,CHAR,FREIGHTER,28813,178.50,25,9.00,14061,6900.00,NASSAU,,BAHAMAS,14140.00,9059626
166,CHILE STAR,CHI,FREIGHTER,28813,150.35,22,9.00,10629,4253.00,MONROVIA,01/08/1993,LIBERIA,10582.00,9017276
167,CLARITY,CLAR,FREIGHTER,507300,88.60,12.51,5.42,2545,1460.00,PEEL,01/07/2022,UNITED KINGDOM,3796.00,9370305
168,CLIFFWATER,CLIF,FUEL BARGE,202362,91.29,12,5.00,2144,920.00,PAPEMDRECHT,,NETHERLANDS,3701.00,9229532
169,CMA CGM AGADIR,CMAAGA,FREIGHTER,28813,139.10,22,8.00,9981,4900.00,ANTIGUA,04/09/2008,,11500.00,9362956
170,CMA CGM ARISTOTE,CMAARIS,FREIGHTER,28813,171.00,27,9.00,17594,7181.00,LONDON,01/07/2007,UNITED KINGDOM,21267.00,9360154
171,CMA CGM HERODOTE,CMAHER,FREIGHTER,28813,171.00,27,9.00,17594,7171.00,LONDON,01/03/2007,UNITED KINGDOM,18860.00,9360142
172,CMA CGM HOMERE,CMAHOM,FREIGHTER,28813,170.00,27,9.00,17594,7181.00,LONDON,23/03/2007,UNITED KINGDOM,21264.00,9362322
173,CMA CGM MEKNES,CMAMEK,FREIGHTER,28813,138.13,22,8.00,9996,4900.00,SAINT JOHNS,,ANTIGUA,11775.00,9435820
174,CMA CGM PLATON,CMAPLAT,FREIGHTER,28813,171.00,27,9.00,17594,7181.00,LONDON,01/10/2007,UNITED KINGODM,19430.00,9362437
175,CMS WARRIOR,CMS,TUG,566408,22.73,10,4.00,161,,,,,,9765184
176,COE MINA,COEM,FREIGHTER,563504,87.99,11.54,5.24,2064,1074.00,LIMASSOL,01/01/1985,CYPRUS,3357.00,8509820
