#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
721,SILVER ENDEAVOUR,SILV END,CRUISE,20162,164.40,23.4,6.10,20449,6630.00,NASSAU,01/06/2021,BAHAMAS,2070.00,9821873
722,SILVER EXPLORER,SILEXP,CRUISE,423437,108.11,15,4.00,6130,1839.00,NASSAU,,BAHAMAS,635.00,8806747
723,SILVER SPIRIT,SVRSP,CRUISE,20162,196.00,,,36000,,BAHAMAS,,,,9437866
724,SILVER WIND,SILVERW,CRUISE,20162,156.00,,,16800,,,,,,
725,SIMON B,SIMON B,FREIGHTER,563504,82.00,11.5,4.20,1587,843.00,HAMBERG,,GERMANY,2380.00,8511029
726,SIRENA,SIRENA,CRUISE,20162,181.00,25.46,5.95,30277,11481.00,MAJURO,05/12/1999,MARSHALL ISLANDS,2700.00,9187899
727,SIRIUS,SRIUS,TUG,507300,26.62,8,4.00,189,,,01/01/1977,NETHERLANDS,106.00,7700180
728,SJARD,SJARD,FREIGHTER,563504,143.17,22.8,9.70,12936,5824.00,SAINT JOHNS,01/01/2007,ANTIGUA & BARBUDA,17305.00,9303314
729,SLOMAN DISPATCHER,SLOM,FREIGHTER,563504,138.20,21,8.00,9611,4260.00,SAINT JOHN'S,01/01/2012,ANTIGUA & BARBUDA,12634.00,9620657
730,SOLENT RAIDER,SRAID,FUEL BARGE,20104,58.91,10,2.00,605,329.00,POOLE,01/01/1968,UNITED KINGDOM,,
731,SOLITAS - H,SOLITAS,FREIGHTER,563504,89.75,12.5,5.49,2518,1837.00,LIMASSOL,01/02/2021,CYPRUS,3789.00,9858670
732,SOSPAN DAU,SDAU,DREDGER,20193,70.36,14,3.00,1546,463.00,PAPENDRECHT,07/06/2013,NETHERLANDS,2134.00,7711062
733,SOUTHERN BAY,SNBAY,FREIGHTER,28813,143.00,22,8.00,8879,4366.00,MONROVIA,,LIBERIA,,9152181
734,SPANACO FIDELITY,SPFI,FREIGHTER,563504,89.94,15.2,5.10,2984,1769.00,ST JOHNS,02/06/2009,ANTIGUA & BARBUDA,4192.00,9472024
735,SPANACO LOYALTY,SPA,FREIGHTER,507300,89.80,14.5,6.30,2.99,1.69,SAINT JOHN'S,01/01/2007,ANTIGUA AND BARBUDA,5.00,9373503
736,SPANACO RELIABILITY,SPAN,FREIGHTER,507300,89.80,14.5,6.30,2990,1686.00,,,,5000.00,
737,SPANISH ALTERNATIVE,SPANISH ALTERNATIVE,FERRY,507300,210.00,,,999,,,,,,
738,SPANISH VESSEL,SV,FERRY,CONFIDENTIAL,255.00,,,60000,,,,,,
739,SPIRIT OF ADVENTURE,SP OF ADV,CRUISE,20162,236.00,31.2,99.00,58250,,UK,,,,9818084
740,SPIRIT OF DISCOVERY,SPDIS,CRUISE,20162,236.00,,,58250,,LONDON,,UK,,9802683
741,SPIRIT OF GOSPORT,SGOS,FERRY,20141,30.51,10,3.00,300,,PORTSMOUTH,11/10/2001,UNITED KINGDOM,,8972089
742,SPIRIT OF PORTSMOUTH,SPIP,FERRY,20141,32.60,1,,377,126.00,,,UK,30.00,9319894
743,SPITSBERGEN,SPITSBERGEN,CRUISE,64766,101.00,18.0,5.30,7344,2312.00,TROMSO,01/05/2015,NORWAY (NIS),687.00,9434060
744,SPLIT 2,SPT2,DREDGER,29368,41.00,8,3.00,325,97.00,POOLE,01/01/1975,UNITED KINGDOM,,8633176
745,SPLIT 3,SPT3,DREDGER,29368,50.62,9,2.00,475,142.00,POOLE,01/01/1969,UNITED KINGDOM,,7012313
746,SPRING DELI,SDELI,FREIGHTER,28813,152.30,24,8.00,12783,4245.00,WILLEMSTAD,,NETHERLANDS,9891.00,8220424
747,ST CECILIA,STCEC,FERRY,20191,76.94,17,2.00,2968,904.00,LONDON,01/01/1987,UK,0.00,8518546
748,ST CLARE,STCLA,FERRY,20191,81.12,18,2.00,5359,1607.00,LONDON,,UK,0.00,9236949
749,ST FAITH,SFAI,FERRY,20191,76.94,17,2.00,3009,914.00,LONDON,01/01/1990,UK,0.00,8907228
750,ST HELENA,STHELENA,CRUISE,202362,105.00,,,6767,,,,,,
751,STAD AMSTERDAM,SAMS,MISCELLANEOUS,20162,78.00,10,4.00,723,277.00,AMSTERDAM,01/06/2000,DUTCH,110.00,9185554
752,STADT BREMERHAVEN,SBRE,FREIGHTER,28813,147.87,23,8.00,9954,5117.00,MAJURO,01/01/2005,MARSHAL ISLAN,0.00,9338278
753,STADT HAMELN,SHAM,FREIGHTER,28813,147.87,23,8.00,9957,5020.00,ST JOHNS,01/01/2007,ANTIGUA,13749.00,9330276
754,STAR BEST,STAR BEST,FREIGHTER,28813,162.50,26,9.00,14030,6742.00,PANAMA,01/12/2006,,13184.00,9350989
755,STAR BREEZE,STAR BREZ,CRUISE,20162,134.00,19,5.00,9975,,BAHAMAS,01/11/1989,BAHAMAS,5170.00,8807997
756,STAR CARE,SCAR,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,13/10/2009,PANAMA,13300.00,9517903
757,STAR COURAGE,STA,FREIGHTER,28813,188.60,26.00,9.72,17164,8092.00,PANAMA,01/05/2017,,16727.00,9765859
758,STAR ENDEAVOUR,SEND,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,24/02/2010,PANAMA,12967.00,9517927
759,STAR FIRST,STAR FIRST,FREIGHTER,28813,162.50,26.0,9.70,14030,,NASSAU,,BAHAMAS,,9330056
760,STAR LEADER,SLEAD,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,01/04/2010,PANAMA,12955.00,9517939
761,STAR LEGEND,STAR LEGEND,CRUISE,20162,160.00,,,12969,,,,,,
762,STAR PRIDE,STARPRIDE,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,,PANAMA,12955.00,9517915
763,STAR PRIMA,SPRIM,FREIGHTER,28813,162.50,26,14.00,14030,6720.00,PANAMA,,PANAMA,1318.00,9338747
764,STAR STANDARD,SSTAN,FREIGHTER,28813,162.50,26,9.00,14030,6724.00,SINGAPORE,,SINGAPORE,13201.00,9438509
765,STAR TRUST,STRU,FREIGHTER,28813,162.50,26,9.00,17030,6724.00,SINGAPORE,27/01/2009,SINGAPORE,13189.00,94318511
766,STEEL,STE,MISCELLANEOUS,606427,54.85,9.5,3.20,769,230.00,GEORGETOWN,01/11/2004,,78.00,1009156
767,STEFAN SIBUM,SSIB,FREIGHTER,28813,151.74,23,8.00,10585,5400.00,LIMASSOL,17/10/2008,GERMAN,13172.00,9461594
768,STEMAT 87,STEM,MISCELLANEOUS,20193,66.00,22,3.00,1369,0.00,,,,0.00,
769,STINNES PASSAT,STIN,FREIGHTER,20162,144.87,23.000,9.85,12795,5486.00,SAINT JOHN'S,24/11/2011,,17299.00,9473248
770,STRAMI,STRM,FREIGHTER,507300,88.25,13.210,5.46,2373,1434.00,NASSAU,,BAHAMAS,4245.00,8922254
771,STRANDWAY,STR,DREDGER,20193,92.10,19,6.16,4320,1296.00,LIMASSOL,01/06/2014,CYPRESS,5950.00,9664457
772,STREKKER,STRE,MISCELLANEOUS,20193,35.00,15,0.00,99,0.00,,,,0.00,1128037
773,SUDEROOG,SUD,FREIGHTER,28813,161.35,25,9.00,15633,6717.00,GIBRALTAR,30/04/2005,,16939.00,9256327
774,SUFFOLK SPIRIT,SUF,MISCELLANEOUS,481721,26.00,10,3.00,146,0.00,,,UK,0.00,9676917
775,SUMMER FLOWER,SFLO,FREIGHTER,20195,169.09,24,9.00,12659,6755.00,NASSAU,,BAHAMAS,13584.00,8413019
776,SUMMER WIND,SWIND,FREIGHTER,20195,169.09,24,9.00,12660,6755.00,NASSAU,01/11/1985,BAHAMAS,13636.00,8410574
777,SUNSET 1,SST1,MISCELLANEOUS,20182,51.10,0,5.00,493,148.00,,,UK,0.00,9222314
778,SUSANNE A,SUSA,MISCELLANEOUS,202362,54.00,14.72,,469,,,,,200.00,
779,SUURHUSEN S,SUUR,FREIGHTER,507300,88.77,13.17,5.68,2805,1568.00,SAINT JOHN'S,01/12/2020,ANTIGUA & BARBUDA,4261.00,9123245
780,SV FRIDTJOF NANSEN,SVFN,MISCELLANEOUS,CASH,43.33,6.890,2.57,247,74.00,WOLGAST,,GERMANY,0.00,5130094
781,SVEALAND,SVEA,FREIGHTER,507300,88.60,12.6,5.42,2498,1413.00,STADE,,GERMANY,3783.00,9195743
782,SVEN D,SVE,FREIGHTER,644009,141.60,20.8,7.30,7713,3785.00,SNEEK,,NETHERLANDS,9604.00,
783,SWAN CHACABUCO,SWCHA,FREIGHTER,20195,152.00,23,9.00,13099,4796.00,NASSAU,,BAHAMAS,12974.00,8907876
784,SWEDISH STREAM,SWED STR,FREIGHTER,28813,158.13,24.43,10.02,13049,5353.00,NASSAU,01/01/1992,BAHAMAS,13930.00,9030149
785,SY ADELE,ADE,MISCELLANEOUS,CASH,55.00,,5.00,289,,CAYMEN,,,,
786,SY ANATTA,SYAN,MISCELLANEOUS,COMDCK,66.00,10.25,4.90,499,149.00,GEORGE TOWN,01/02/2011,CAYMAN ISLANDS,,1011159
787,SY MERAKI,MRK,CRUISE,20246,49.70,9.61,4.35,265,79.00,GEORGE TOWN,,CAYMAN ISLANDS,,9840831
788,SY Q,SYQ,MISCELLANEOUS,20246,51.70,10.3,,407,,GEORGE TOWN,01/01/2008,CAYMAN ISLANDS,,1010040
789,SYMPHONY SPACE,SYM,FREIGHTER,563504,122.50,17.05,7.95,6749,3408.00,ROTTERDAM,,NETHERLANDS,10546.00,9735232
790,SYMPHONY SUN,SYS,FREIGHTER,563504,122.50,17.050,7.81,6.75,6.75,,01/01/2016,NETHERLANDS,10.55,9721669
791,SYROS,SYR,FUEL BARGE,202362,90.22,15,3.00,322,,,,,,9371294
792,TASMAN MERMAID,TASMER,FREIGHTER,28813,141.80,,8.00,9829,3538.00,PANAMA,,,10457.00,9045950
793,TAURAS J,TAURJ,FERRY,28813,154.59,24,14.00,14062,5525.00,SAINT JOHNS,,ANTIGUA & BARBUDA,18832.00,9248916
794,TEDDY,TEDDY,TUG,20195,23.35,,,123,,,,,,
795,TELMO,TELM,FREIGHTER,1921464,99.90,15.6,6.20,3978,2262.00,LIMASSOL,01/01/2016,CYPRUS,5613.00,9786798
796,TENACIOUS,TENA,MISCELLANEOUS,1478752,65.00,10,4.00,586,175.00,SOUTHAMPTON,,UNITED KINGDOM,,1005679
797,TEST SHIP 1,TEST 1,FERRY,1478752,1.00,,,1,,,,,,
798,TEST SHIP 2,TEST 2,FERRY,1478752,500.00,,,999999,,,,,,
799,THE WORLD,WORLD,CRUISE,20162,196.00,29.8,7.07,43188,15444.00,NASSAU,01/01/2002,BAHAMAS,4558.00,9219331
800,THOMSON CELEBRATION,THCEL,CRUISE,20195,214.66,27,7.00,33933,16050.00,VALLETTA,,MALTA,4243.00,5544071
801,THOR,THOR,MISCELLANEOUS,COMDCK,30.00,6,3.00,99,66.00,,,,,
802,THOR HEYERDAHL,THEY,MISCELLANEOUS,563504,49.80,6.53,2.21,211,118.00,KIEL,01/01/1931,GERMANY,315.00,5221491
803,THV MAIR,THMAR,MISCELLANEOUS,20231,24.00,6,,1,,,,UNITED KINGDOM,,235004042
804,TIBERBORG,TIBERBORG,FREIGHTER,20195,172.28,21.490,9.38,14.7,6.70,DELFZIJL,01/01/2013,NETHERLANDS,21.30,9546473
805,TIMOR STREAM,TSTR,FREIGHTER,28813,150.00,22,9.00,9307,4983.00,MONROVIA,01/09/1998,LIBERIA,11013.00,9172947
806,TINA C,TIN,FREIGHTER,507300,99.60,14.50,6.20,3391,,COWES,,UNITED KINGDOM,,9416331
807,TORPO,TOR,FREIGHTER,20162,88.15,14.18,4.90,1986,1246.00,BRIDGETOWN,01/01/1990,,3504.00,8908791
808,TRAFALGAR SENTINEL,TRAFSE,MISCELLANEOUS,202362,60.00,15.8,5.20,2.03,609.00,ABERDEEN,29/09/2020,UNITED KINGDOM,1.62,9720706
809,TRENT NAVIGATOR,TNAV,FREIGHTER,20246,111.60,16,7.00,5667,3048.00,HERENVEEN,21/05/2013,NETHERLANDS,,9631369
810,TRIPLE SEVEN,TRIP,MISCELLANEOUS,COMDCK,67.40,12.81,3.55,1393,417.00,,,,250.00,
811,TUCANA,TUCA,FREIGHTER,20162,88.60,12.5,5.42,2545,1460.00,HEERHUGOWAARD,01/01/2008,NETHERLANDS,3783.00,9455674
812,TUG HOLLAND,THOL,TUG,20162,57.50,9,3.00,570,171.00,WEST-TERSCHELLI,,NETHERLANDS,,5153462
813,UHL FINESSE,UHFI,FREIGHTER,563504,149.99,25.910,9.20,16732,5180.00,MADEIRA,01/01/2021,PORTUGAL,17102.00,9892511
814,UHL FLASH,UHL,FREIGHTER,563504,149.99,25.87,8.30,16732,5180.00,MADEIRA,01/01/2019,PORTUGAL,14066.00,9785407
815,UHL FRONTIER,UHLFR,FREIGHTER,563504,149.99,25.85,9.20,16729,5180.00,MADEIRA,01/01/2019,PORTUGAL,17121.00,9789685
816,UKD BLUEFIN,UBLUE,DREDGER,20193,97.96,18,5.00,4171,1251.00,SWANSEA,,UNITED KINGDOM,5797.00,9143427
817,UNEXPECTED,UNE,MISCELLANEOUS,78322,38.00,8,2.50,377,,,,,67.00,
818,VADERO HIGHLANDER,VAD,FUEL BARGE,202362,78.56,10.450,4.27,1.320,600.00,,,,1.86,
819,VAL DE LOIRE,VAL,FERRY,20212,161.00,32,6.00,31395,13212.00,MORLAIX,01/01/1987,FRANCE,,8502406
820,VALERIE,VALER,FREIGHTER,507300,89.95,14.4,6.23,2984,1598.00,GRONINGEN,01/01/2012,NETHERLANDS,4450.00,9374739
821,VALIANT LADY,VALADY,CRUISE,787265,278.00,42.0,8.30,110000,74502.00,NASSAU,15/06/2020,BAHAMAS,10000.00,9805336
822,VARNEBANK,VARN,FREIGHTER,,132.23,15.87,7.50,6130,3424.00,DELFZIJL,01/11/2000,NETHERLANDS,9567.00,9213739
823,VASCO DA GAMA,VASCO,CRUISE,20162,219.40,30.8,7.72,55877,26345.00,MADEIRA,30/07/1991,PORTUGAL,7637.00,8919245
824,VDE III,VDEIII,MISCELLANEOUS,20099,36.00,3,99.00,99999,0.00,,,,,
825,VECTIS HARRIER,VEC,FREIGHTER,563504,109.95,17,8.00,6190,2619.00,DOUGLAS,01/08/2012,BRITISH,8557.00,9594303
826,VEDETTE,VED,FREIGHTER,28813,88.00,13,5.40,1,1.00,PEEL,01/01/2000,ISLE OF MAN,3850.00,9195729
827,VEGA VIRGO,VEG,FREIGHTER,28813,139.26,22,8.00,9,4.00,MONROVIA,01/01/2011,LIBERIA,11.00,9491604
828,VENTURA,VEN,FREIGHTER,507300,88.80,12.5,5.40,2545,1460.00,FAVERSHAM,,UNITED KINGDOM,3812.00,9195731
829,VERTOM MARJOLIN,VERTOM,FREIGHTER,507300,88.25,12.4,5.14,2451,1325.00,LUXEMBOURG,01/10/2020,,3583.00,9507350
830,VESTVIND,VESTVIND,FREIGHTER,563504,130.00,,5.00,7175,,ANTIGUA,,,10238.00,9750579
831,VICTORIA,VICTORIA,CRUISE,110214,191.85,,,57092,,,,,,
832,VICTORIA OF WIGHT,VIC OF W,FERRY,20191,89.70,20,,8041,8041.00,,,,950.00,9791028
833,VIKING ENERGY,VIKEN,MISCELLANEOUS,20193,26.48,11.0,2.61,255,76.00,KIRKWALL,01/01/2019,UNITED KINGDOM,0.00,9868510
834,VIKING JUPITER,VJUP,CRUISE,20162,228.30,66.50,6.65,47800,,BERGEN,10/05/2021,NORWAY,,9796262
835,VIKING MARS,VIKMAR,CRUISE,20162,227.00,28.8,6.40,60000,18853.00,BERGEN,15/07/2021,NORWAY,4900.00,9833187
836,VIKING MERCURY,VIKING MERCURY,CRUISE,20162,228.00,,,47842,,,,,,
837,VIKING NEPTUNE,VIKNEP,CRUISE,20162,228.00,,,47800,,BERGEN,,,,9845910
838,VIKING SATURN,VSATURN,CRUISE,20162,228.00,,,47842,,,,,,
839,VIKING SEA,VSEA,CRUISE,20162,228.20,28.8,6.30,47842,,BERGEN,05/05/2016,NORWEGIAN,4870.00,9725421
840,VIKING SENTINEL,VIKING S,MISCELLANEOUS,202362,60.00,,5.20,2.03,609.00,ABERDEEN,20/08/2022,UNITEDKINGDOM,1.59,9720718
841,VIKING SKY,VSKY,CRUISE,20162,228.30,28,6.00,47842,18858.00,BERGAN,23/03/2016,,4826.00,9650420
842,VIKING STAR,VSTAR,CRUISE,20162,228.30,28,6.00,47842,18858.00,BERGEN,23/06/2014,SWITZERLAND,4912.00,9650418
843,VIKING SUN,VSUN,CRUISE,20162,228.33,28,6.00,47842,18858.00,BERGEN,15/12/2016,,4797.00,9725433
844,VIKING TELLUS,VTELLUS,CRUISE,20162,228.00,,,47842,,,,,,
845,VIKING VELLA,VIKING VELLA,CRUISE,20162,239.00,,,54300,,,,,,
846,VIKING VENUS,VVENUS,CRUISE,20162,228.00,28.89,6.65,47842,,BERGEN,01/04/2021,NORWAY,,9833175
847,VIONA,VINA,FREIGHTER,28813,178.57,27,10.00,17360,9038.00,MADERIA,01/07/2013,PORTUGAL,22248.00,9333369
848,VIRGINIA ANN,VIRG,MISCELLANEOUS,64766,87.17,18.3,,3378,,,,,4.47,
849,VLISTDIEP,VLI,FREIGHTER,28813,118.00,16,4.80,4990,,,01/01/2007,NETHERLANDS,7781.00,9414187
850,VOS PACE,VPACE,FREIGHTER,507300,83.40,18,4.00,3638,1295.00,BRESKENS,01/01/2015,NETHERLANDS,4120.00,9685750
851,VOS STONE,VOST,FREIGHTER,507300,80.00,18.4,5.80,4965,1489.00,BRESKENS,18/06/2016,NETHERLANDS,2348.00,9730517
852,VULCAN 2,VUL,TUG,28813,16.60,6,2.00,9999,,FALMOUTH,01/01/2011,BRITISH,,
853,WATERWAY,WATER,DREDGER,20193,97.70,23.020,6.58,5.395,1.62,LIMASSOL,01/01/2001,CYPRUS,6.61,9240005
854,WAVE SENTINEL,WSEN,MISCELLANEOUS,20162,137.50,21,6.00,12330,3700.00,LONDON,04/02/1995,UNITED KINGDOM,4552.00,9100748*
855,WAVERLEY,WVLY,STEAMBOAT,1464390,73.13,17,1.00,693,327.00,GLASGOW,01/01/1947,UNITED KINGDOM,,5386954
856,WD MERSEY,WDMER,DREDGER,20193,67.59,13,5.00,1595,478.00,LIVERPOOL,23/01/1980,UNITED KINGDOM,2778.00,8123195
857,WHITASK,WTASK,FUEL BARGE,20104,57.31,10,2.00,640,343.00,LONDON,01/09/1978,UNITED KINGDOM,,7715408
858,WHITCHALLENGER,WCHAL,FUEL BARGE,20104,84.95,15,6.00,2958,1355.00,DOUGLAS,01/09/2002,UNITED KINGDOM,4450.00,9252278
859,WHITCHAMPION,WCHAMP,FUEL BARGE,20104,84.95,15,6.00,2965,1355.00,DOUGLAS,,UNITED KINGDOM,4513.00,9252280
860,WHITDAWN,WDAWN,FUEL BARGE,20104,79.93,16,5.10,2746,,VALLETTA,,MALTESE,,9604342
861,WHITMARINER,WMARIN,FUEL BARGE,20104,88.52,11,5.00,1363,,LIMASSOL,,UNITED KINGDOM,0.00,7813169
862,WHITONIA,WHNIA,FUEL BARGE,20104,101.84,18,6.00,4292,1963.00,DOUGLAS,15/11/2006,UNITED KINGDOM,7000.00,9342607
863,WHITSTAR,WHITST,FUEL BARGE,20104,75.10,14.1,5.75,2159,824.00,HULL,,UK,3185.00,
864,WIGHT LIGHT,WLIGHT,FERRY,20191,62.00,,,2546,,LONDON,,UNITED KINGDOM,,9446972
865,WIGHT RYDER 1,WRYD1,FERRY,20191,39.50,12,1.00,520,164.00,,,,130.00,9512537
866,WIGHT RYDER 2,WRYD2,FERRY,20191,40.90,12,1.00,520,164.00,PORTSMOUTH,,UNITED KINGDOM,130.00,9512549
867,WIGHT SCENE,WSCENE,FERRY,20272,26.40,10,2.00,279,134.00,COWES,01/01/1992,UNITED KINGDOM,,9056997
868,WIGHT SKY,WSKY,FERRY,20191,62.40,16,4.00,2546,763.00,LONDON,,UNITED KINGDOM,,9446984
869,WIGHT SUN,WSUN,FERRY,20191,62.00,16,2.00,1500,,LONDON,29/06/2008,UNITED KINGDOM,360.00,9490416
870,WILANNE,WANN,TUG,57668,16.89,5,2.00,35,35.00,SOUTHAMPTON,,UNITED KINGDOM,,9320221
871,WILCARRY,WCAR,MISCELLANEOUS,57668,50.00,,,229,,SOUTHAMPTON,,UNITED KINGDOM,,
872,WILCARRY 100,WCAR100,MISCELLANEOUS,20193,14.00,8,0.00,1,1.00,,,UNITED KINGDOM,37.00,
873,WILD COSMOS,WCOS,FREIGHTER,20195,149.92,22,8.00,9859,5124.00,PANAMA,01/01/2006,PANAMA,10097.00,9181132
874,WILD LOTUS,WLOT,FREIGHTER,20195,149.92,22,8.00,9660,5124.00,PANAMA,,PANAMA,10139.00,9181168
875,WILD PEONY,WPEO,FREIGHTER,20195,149.92,,8.00,9859,5124.00,PANAMA,,PANAMA,10110.00,9191474
876,WILHELM,WHELM,FREIGHTER,28813,134.44,22,8.00,9981,606.00,LIMASSOL,01/10/2006,CYPRUS,11255.00,9376050
877,WILLDART,WDAR,TUG,57668,14.00,6,,0,,,,,,
878,WILLEM B,WILB,TUG,COMDCK,18.40,5,2.00,1,1.00,,,NETHERLANDS,1.00,8433681
879,WILLENDEAVOUR,WEND,TUG,57668,22.00,9,3.00,136,1.00,,,BRITISH,1.00,8668353
880,WILLPOWER,WIPO,TUG,57668,22.50,7.25,3.18,140,36.00,SOUTHAMPTON,30/04/2014,UNITED KINGDOM,62.00,9220691
881,WILLPOWER-DNU,WPOW,TUG,COMDCK,19.50,6,2.00,120,,SOUTHAMPTON,01/01/1995,UNTIED KINGDOM,,9059262
882,WILLSUPPLY,WISU,MISCELLANEOUS,57668,22.50,,1.80,0,,,,,,
883,WILSON FEDJE,WILFED,FREIGHTER,507300,89.93,15.660,6.00,3.56,1.59,BRIDGETOWN,01/01/2012,BARBADOS,4.50,9491757
884,WILSON FLEX IV,WIL FEL,FREIGHTER,563504,88.50,14.5,5.70,2995,,MADEIRA,01/11/2022,PORTUGAL,,9911460
885,WILSON JUPITER,WILS,FREIGHTER,563504,87.97,11.80,5.40,2281,1229.00,SAINT JOHN'S,10/04/2021,ANTIGUA & BARBUDA,3629.00,9411795
886,WILSON MONSOON,WIL,FREIGHTER,563504,90.60,13.8,4.30,2035,1168.00,BRIDGETOWN,,BARDADOS,2780.00,
887,WILSON PARNU,WILPAR,FREIGHTER,507300,89.80,14.50,6.30,2990,,BERGEN,,NORWAY,,9373541
888,WILSON POLICE,WILPOL,FREIGHTER,507300,89.80,14.500,6.30,2.99,1.69,BERGEN,01/01/2007,NORWAY,4998.00,9373539
889,WILSON SKAW,SKAW,FREIGHTER,563504,112.70,15.2,6.68,4197,2033.00,BRIDGETOWN,03/12/2014,BARBADOS,6460.00,8918459
890,WILSON WISLA,WILW,FREIGHTER,563504,82.35,11460,4.80,1864,938.00,BRIDGETOWN,01/01/1996,,2517.00,9156175
891,WIND SOLUTION,WINDSO,FERRY,507300,122.71,19,5.00,8893,2667.00,LONDON,,UNITED KINGDOM,1845.00,6918560
892,WIND SURF,WSURF,CRUISE,20162,187.20,20,13.00,14745,5056.00,NASSUA,01/05/2007,BAHAMAS,1654.00,9700785
893,WINGS,WIN,FREIGHTER,507300,87.00,12.98,5.08,2351,1206.00,ST JOHNS,01/01/1989,ANTIGUA&BARBUDA,3432.00,8801113
894,WORLD EXPLORER,WEXP,CRUISE,507300,134.00,19,,9300,,,,MADEIRA,,
895,WORLD NAVIGATOR,WORLDNAV,CRUISE,20162,126.00,18.0,4.00,9300,2812.00,MADEIRA,23/08/2020,PORTUGAL,1123.00,9871531
896,WORLD VOYAGER,WVOYAGER,CRUISE,20162,126.00,18.00,4.00,9300,2812.00,MADEIRA,10/05/2019,PORTUGAL,1103.00,9871529
897,WYEFORCE,AWY,TUG,610025,19.20,6.1,2.60,57,,,,UNITED KINGDOM,,
898,YORKSHIREMAN,YORK,TUG,934842,24.39,9,4.00,144,136.00,HULL,01/09/2007,UK,97.00,9655884
899,ZEA BREMEN,ZEA,FREIGHTER,563504,156.76,,7.80,10.9,5.77,MONROVIA,01/01/2016,LIBERIA,12.77,9273791
900,ZENIT,ZEN,FREIGHTER,20195,152.00,23,9.00,13312,4796.00,MONROVIA,,LIBERIA,12848.00,8700228
901,ZENOBE GRAMME,OBE,MISCELLANEOUS,635040,28.00,6.8,2.10,999999,,BELGIUM,01/12/1961,,,4515780